date,time,Unknown,calcium,calories,carbs,cholesterol,fat,fiber,iron,monounsaturated fat,polyunsaturated fat,potassium,protein,saturated fat,sodium,sugar,vitamin_c
2024-04-12,23:32:00,,147,1638.15,93.96,192,57.36,0,2.295,0,0,1369.5,79.77,13.08,984.105,22.95,14.4
2024-04-13,08:45:00,,0,163.88,21.76,0,6.052,1.156,0,0,0,0,4.896,0.816,680,2.448,0
2024-04-13,12:03:00,,0,198,21.4,0,2.5,1.3,0,0,0,0,22,0.6,600,0.9,0
2024-04-13,14:51:00,,432.938,1172.97,49.4839,0.8,75.0054,4.4171,0.8149,11.3025,3.406,581.618,109.548,19.2904,458.122,7.9366,23.7997
2024-04-13,23:51:00,,9,1313.95,78.08,0.8,50.48,0.8,0.045,5.6,2.36,232.5,35.76,1.48,96.14,0.2,7.2
2024-04-14,09:07:00,,0,105,26.95,0,0.39,0,0,0,0,0,1.29,0.132,0,14.43,0
2024-04-14,11:38:00,,0,192,12,0,1.65,0.65,0,0,0,0,32,0.55,300.177,0.65,0
2024-04-14,14:19:00,,815.938,1615.27,98.1169,589.6,93.0144,6.7871,41.5669,23.3905,6.108,1677.42,98.3232,18.6474,2038.13,10.7716,18.2197
2024-04-14,21:02:00,,50.2869,878.872,95.9556,72.372,20.3087,2.28528,3.01729,4.26957,5.86578,675.076,68.5328,3.78591,741.873,5.27882,9.35486
2024-04-15,07:06:00,,18,384.2,35.87,0,5.15,6.72,0.0162,1.75,1.8,23.1,51.1,1.3,0.6565,1.1,1.746
2024-04-15,21:03:00,,448.223,666.707,29.1144,196.416,41.7896,4.05889,2.04906,1.94083,1.02132,138.253,45.2017,2.55694,79.6702,8.03467,3.56276
2024-04-15,21:04:00,,72,378.8,27.2,492,20.26,5.26,0,5.88,2.16,176,18.5,4.06,522,0.66,7.2
2024-04-16,06:27:00,,0,66.42,12.6,0,1.06,0,0,0,0,0,1,0,0,5.04,0
2024-04-16,07:59:00,,140,290,13.38,62,11.7,2,0,0,0,264,34.24,0,67.064,0.44,2.76
2024-04-16,12:10:00,,0,604.3,58.28,0,27.45,0,0,0,0,0,25.845,0.8,0.4,0,0
2024-04-16,18:35:00,,0,758,84.5,0,29,0,0,0,0,0,37.55,1.3,0,0,0
2024-04-17,07:31:00,,0,611.6,57.41,80,24.13,3.2,0,5.556,4.896,324,35.93,2.732,1800.05,1.97,0
2024-04-17,11:28:00,,0,499.4,14.68,145,29,2,0,0,0,0,43.5,4.2,1130,0,0
2024-04-17,14:08:00,,0,755.8,111.45,21,15.5,3.3,0,0,0,0,22.9,1.6,1080,0.2,0
2024-04-17,17:56:00,,0,555,93.45,21,3.9,3.3,0,0,0,0,18.9,0,1080,0,0
2024-04-18,07:44:00,,0,365,30.65,0,5.15,6,0,1.75,1.8,0,50.8,1.3,0.3565,1.1,0
2024-04-18,12:09:00,,0,722.05,15.365,145,41.95,2,0,0,0,0,70.4,12.46,1132.58,0,0
2024-04-18,20:23:00,,0,95.6,0.86,0,8.56,0,0,0,0,0,3.66,3.42,0,0,0
2024-04-18,20:34:00,,20,714,85.82,0,23.37,0,1.08,3.458,1.414,198,40.22,4.98,104.95,3.87,0
2024-04-19,07:49:00,,0,365,30.65,0,5.15,6,0,1.75,1.8,0,50.8,1.3,0.3565,1.1,0
2024-04-19,15:40:00,,125,944.3,30.81,0,33.85,2.1,0.009,0,0,139.5,104.44,15.2,230,4.42,12
2024-04-19,21:38:00,,100,755.5,91.04,0,33.68,5.35,1.8,0,0,0,22.61,7.8,4145,8.81,0
2024-04-20,09:09:00,,0,371,40.05,0,6,6.65,0,1.75,1.8,0,40.8,1.35,300.179,1.35,0
2024-04-20,18:51:00,,44,1199.6,60.62,0.8,53.62,3.8,0.04824,5.6,2.36,369.4,92.92,14.04,168.2,1.05,7.4304
2024-04-20,19:57:00,,0,161.7,11.7,0,0,0,0,0,0,0,1.32,0,0,0.33,0
2024-04-20,21:26:00,,288,854,94.1,148.9,29.56,10.6,4.05648,0.7,0.7,129,56.6,5.64,2340.95,10.9,96.4608
2024-04-21,07:51:00,,0,135,15,0,6,0,0,0,0,0,4,0,0,0,0
2024-04-21,10:51:00,,40,494,144.61,38,18.27,16.5,0.189,0.1,0.1,0,45.55,0.95,333.214,112.37,2.16
2024-04-21,13:42:00,,88,1279.2,40.38,1.6,68.36,2,0.09648,11.2,4.72,456.8,99.14,20.88,1014.4,1.45,14.8608
2024-04-21,21:27:00,,282,514.8,60.72,100,19.04,5,2.84472,0,0,1.2,26.96,1,1561.6,10,96.6912
2024-04-22,07:26:00,,0,346,1.76,168,22.1,0,0,37.6,22.4,0,30.98,27.2,79.2,0,0
2024-04-22,14:11:00,,373.519,555.589,24.262,163.68,34.8247,3.38241,1.70755,1.61736,0.851099,115.211,37.6681,2.13078,66.3918,6.69556,2.96897
2024-04-22,21:59:00,,41.494,1259.24,110.177,120.937,40.0544,1.4922,1.893,0.1796,0.2086,982.956,77.9228,3.508,1148.51,6.93,12.4994
2024-04-23,06:22:00,,0,66.42,12.6,0,1.06,0,0,0,0,0,1,0,0,5.04,0
2024-04-23,07:43:00,,0,333.8,30.13,0,4.84,4.5,0,0,0,0,39.65,1.05,0.284,0.32,0
2024-04-23,22:06:00,,119.25,484.509,52.13,91.2662,19.74,2.92077,2.21725,5.25243,9.58319,727.807,26.0791,3.44845,588.472,5.68186,27.6698
