date,sleep_time,sleep_score_performance,sleep_score_consistency,sleep_score_efficiency,sleep_duration,sleep_rem,sleep_deep,sleep_light,sleep_awake,recovery_score,resting_hr,hrv,spo2,skin_temp
2024-04-03,01:16:46,52.0,47.0,94.36013,5.951899722222223,2.074848611111111,1.9146302777777773,1.5057958333333332,0.4566249999999999,52.0,55.0,52.75836,93.75,32.905
2024-04-04,22:53:13,65.0,58.0,92.324486,7.201605555555555,2.322913055555555,1.762413888888889,2.563518333333333,0.5527602777777777,58.0,53.0,49.9987,96.416664,32.8
2024-04-05,00:39:49,58.0,65.0,91.242546,6.168986666666666,1.8991416666666665,1.6903241666666668,2.002728055555556,0.5767927777777778,53.0,56.0,50.033325,95.52941,32.7
2024-04-06,00:17:12,58.0,75.0,84.58037,7.233648611111111,1.9303733333333333,2.0748375,2.058830555555556,1.1696072222222222,53.0,56.0,49.271,94.0,32.4
2024-04-07,23:15:29,68.0,66.0,85.681076,6.993323611111111,1.858548888888889,2.219048611111111,1.9143575,1.001368611111111,88.0,52.0,60.83275,93.53846,33.4
2024-04-08,23:12:33,71.0,75.0,88.97327,8.540244166666668,2.4753977777777783,2.5955655555555555,2.491932777777778,0.9773480555555556,52.0,54.0,46.160538,95.47059,32.706665
2024-04-09,23:29:08,63.0,74.0,84.66049,6.7610125000000005,2.4273322222222222,1.4820322222222222,1.7941955555555558,1.0574525,88.0,49.0,68.67826,95.03846,32.0
2024-04-10,00:18:43,68.0,75.0,94.96861,6.687304166666666,2.0892647222222225,2.0428047222222223,2.218770277777778,0.3364644444444444,87.0,49.0,62.56459,95.333336,32.2
2024-04-11,23:37:23,64.0,84.0,93.08298,6.8811816666666665,2.403306666666667,1.417946388888889,2.539215,0.5207136111111111,63.0,51.0,52.610798,94.382355,32.4
2024-04-12,23:40:39,59.0,89.0,85.96585,6.705733888888889,2.227058888888889,1.0173972222222225,2.348019166666667,1.1132586111111111,62.0,51.0,54.846996,96.333336,32.83
2024-04-14,01:23:24,65.0,51.0,83.50228,7.089449722222223,1.88258,1.698331388888889,2.338940833333333,1.1695975000000003,51.0,61.0,41.777214,95.25,33.1
2024-04-15,23:47:35,47.0,47.0,81.756775,5.944160833333333,1.361876111111111,1.3138044444444443,2.170974722222222,1.0975055555555555,52.0,53.0,57.815517,96.84615,32.9
2024-04-16,23:41:46,64.0,63.0,94.1693,6.594921111111111,1.8825911111111115,1.8585541666666667,2.4692455555555552,0.3845302777777777,85.0,48.0,67.28939,96.64286,33.3
2024-04-17,23:11:46,64.0,70.0,91.63697,6.801056666666667,1.7221016666666666,1.2977830555555556,3.212397222222222,0.5687747222222223,56.0,50.0,51.269054,96.0625,32.803333
2024-04-18,00:12:58,57.0,78.0,92.24091,6.504660555555556,2.362970833333333,1.4980594444444444,2.138927777777778,0.5047025,50.0,54.0,50.261154,94.42308,33.5
2024-04-19,23:20:45,67.0,79.0,80.09519,8.153581388888888,2.2671141666666665,1.9466702777777776,2.265511388888889,1.6742855555555556,72.0,51.0,57.492393,95.61539,33.033333
2024-04-20,00:00:52,64.0,84.0,90.325905,6.921236111111112,2.074581111111111,1.986725555555556,2.146946944444444,0.7129825000000001,59.0,51.0,52.565777,95.96667,33.1
2024-04-21,00:12:12,53.0,87.0,75.79595,7.387730833333333,2.100477222222222,2.363240833333333,1.1055230555555555,1.8184897222222225,48.0,55.0,52.85519,96.333336,32.6
2024-04-22,00:16:07,56.0,90.0,88.07429,6.7308433333333335,1.4419830555555555,1.834521388888889,2.6516375,0.8027013888888889,69.0,50.0,59.739063,96.333336,32.336666
2024-04-23,23:18:54,57.0,86.0,83.432785,6.720948055555556,1.8425341666666664,1.922641111111111,1.8021969444444443,1.1535758333333332,65.0,53.0,57.827534,95.25,32.6
2024-04-24,23:14:53,63.0,79.0,92.88318,6.608806944444445,1.8983455555555555,2.026783611111111,2.1389325,0.5447452777777778,78.0,48.0,59.432083,95.5625,33.8
2024-04-25,23:29:49,64.0,86.0,96.723404,7.16236361111111,2.170708055555556,1.9875391666666664,2.699698333333333,0.3044180555555555,66.0,48.0,57.93479,96.57143,33.251667
2024-04-26,00:05:46,55.0,86.0,85.68483,6.603443611111112,2.317573611111111,1.8825791666666667,1.4579966666666666,0.9452941666666668,28.0,58.0,40.761883,94.5,33.8
2024-04-27,23:53:56,64.0,78.0,83.02957,8.075517222222222,1.938670833333333,1.7143544444444447,3.0121333333333333,1.410358611111111,51.0,53.0,52.17052,95.02778,32.6
2024-04-28,01:03:10,73.0,65.0,89.42115,8.051043055555557,2.5154625,2.018769444444444,2.6436125,0.8731986111111111,72.0,56.0,59.360687,98.1,31.986668
2024-04-29,00:51:38,59.0,54.0,84.41147,6.064041944444444,1.249705277777778,1.5381066666666667,2.330934722222222,0.9452952777777778,42.0,55.0,48.298866,94.84615,31.7
2024-04-30,23:39:58,72.0,69.0,81.20006,8.333291388888888,1.9306541666666663,1.2438361111111111,3.5726325,1.5861686111111113,28.0,64.0,45.74882,96.90909,33.7
2024-05-01,23:59:30,75.0,74.0,78.864876,8.755747777777778,1.5381158333333331,2.2508216666666665,3.1162716666666666,1.8505386111111115,28.0,63.0,36.326633,97.3,32.29333
2024-05-02,01:00:00,75.0,77.0,89.16373,7.810449166666666,1.2737480555555556,2.0508116666666667,3.596670833333333,0.8892186111111111,43.0,66.0,43.054794,95.125,31.418333
2024-05-03,00:40:21,49.0,82.0,79.78915,6.128133055555555,1.7383874999999998,1.4179425,1.7140794444444445,1.2577236111111112,56.0,56.0,58.815506,96.75,31.6
2024-05-04,01:04:14,54.0,82.0,85.42589,6.761018611111112,2.2588319444444447,1.8665591666666663,1.650269166666667,0.9853583333333332,33.0,65.0,40.82328,95.5,31.718563
2024-05-05,00:18:11,70.0,82.0,84.607315,8.202997222222223,2.250817777777778,2.0347941666666665,2.6276122222222225,1.2897730555555555,93.0,55.0,65.86936,96.07692,31.801666
2024-05-06,00:39:35,58.0,87.0,84.31961,7.337796111111111,2.187000555555556,1.5461277777777778,2.4270536111111114,1.1776141666666669,53.0,59.0,48.08231,97.666664,31.958334
2024-05-07,00:09:28,57.0,87.0,89.8892,6.124943888888889,1.9707108333333327,1.3778955555555554,2.135453611111111,0.6408838888888888,77.0,52.0,64.32325,96.541664,32.1
2024-05-08,23:29:25,70.0,71.0,95.0899,7.259017777777777,2.5565616666666666,1.6102119444444445,2.6596430555555557,0.43260111111111116,73.0,52.0,57.634995,95.72727,32.6
2024-05-09,23:46:33,61.0,82.0,90.887695,6.969301111111111,1.8906005555555556,1.5618741666666667,2.859919444444444,0.6569069444444443,51.0,55.0,51.977077,97.5,31.61
2024-05-10,00:01:39,52.0,88.0,91.48318,5.831736666666667,2.2187830555555554,1.4740230555555556,1.6422519444444446,0.4966786111111111,41.0,52.0,50.430496,94.92308,32.961666
2024-05-11,23:50:16,81.0,70.0,89.04953,8.8518875,2.5472358333333336,2.2751247222222224,3.0602036111111115,0.9693233333333333,92.0,53.0,65.41583,95.0,33.078335
2024-05-12,00:06:17,70.0,77.0,84.37743,8.050782777777778,2.1707155555555553,1.92263,2.6996983333333335,1.2577388888888887,47.0,56.0,49.2033,91.14286,33.155
2024-05-13,23:51:43,62.0,84.0,83.74114,7.193604722222222,2.0828741666666666,1.7624161111111112,2.1787163888888887,1.1695980555555556,86.0,54.0,66.23544,95.21429,33.2
2024-05-14,23:35:40,84.0,69.0,83.62924,8.155195833333334,2.3151872222222223,1.5461152777777778,2.9320280555555556,1.3618652777777778,65.0,56.0,56.25561,93.69231,33.533333
2024-05-15,01:18:01,69.0,69.0,84.78444,6.9212325,1.746399722222222,2.1068805555555556,1.9944722222222222,1.07348,69.0,50.0,57.170105,95.416664,32.3
2024-05-16,00:07:26,48.0,80.0,76.290016,6.544976388888889,1.7303777777777778,1.5223580555555556,1.7220930555555554,1.5701475,23.0,58.0,40.26007,95.6,33.116665
2024-05-17,23:20:12,68.0,75.0,90.94647,7.295885277777779,2.7696661111111114,1.6422555555555554,2.1870005555555556,0.6969630555555555,90.0,48.0,72.72787,96.916664,31.3
2024-05-18,01:14:38,62.0,71.0,90.87731,6.937235833333333,1.9707111111111113,2.0027547222222224,2.3309075,0.6328625,32.0,57.0,40.42054,94.92308,32.3
2024-05-19,23:31:46,65.0,75.0,87.118065,7.121509722222223,1.8665633333333331,1.9546825,2.354959722222222,0.9453041666666666,87.0,47.0,70.06408,94.77778,31.556667
2024-05-20,23:35:11,64.0,82.0,87.22243,7.586275277777777,2.387128888888889,1.9626930555555555,2.2671116666666666,0.9693416666666667,84.0,48.0,68.9019,96.5,31.6
2024-05-21,23:36:28,57.0,87.0,86.91326,6.275926388888889,1.7063408333333334,1.594183611111111,2.126237777777778,0.8491641666666666,47.0,55.0,51.968372,95.958336,32.47
2024-05-22,00:47:03,49.0,77.0,80.64612,5.876350555555556,1.1979277777777777,1.4740208333333336,2.0347975,1.1696044444444444,37.0,50.0,50.600967,97.0,32.293335
2024-05-23,23:53:23,51.0,85.0,76.06221,7.026447222222222,1.1696030555555554,1.3859069444444445,2.7645880555555555,1.7063491666666666,50.0,51.0,56.90157,96.916664,31.9
2024-05-24,01:23:30,54.0,66.0,85.86382,5.375116944444444,1.3055230555555555,1.3458527777777778,1.9226341666666669,0.8011069444444445,22.0,62.0,37.366104,95.14286,32.8
2024-05-25,00:20:36,56.0,81.0,82.85981,6.801074444444444,1.8342494444444444,1.8745761111111112,1.9066180555555554,1.1856308333333334,36.0,58.0,44.291126,94.25,32.8
2024-05-26,00:35:02,59.0,70.0,89.74644,5.390871388888888,1.289776388888889,1.85054,1.697798611111111,0.5527563888888889,74.0,50.0,62.906727,96.5,32.4
2024-05-27,00:42:56,46.0,79.0,81.35773,6.188005,1.5701522222222222,1.4900480555555555,1.9742197222222222,1.1535849999999999,30.0,59.0,46.508587,93.111115,33.5
